,Team Name,Team Description,Roll Type,Difficulty,Rank,Units,Carousel Priority
0,Killer Kai'Sa,This is a full Quickdraw comp that uses Kai'Sa as your main carry with Star Guardians as backup.,slow roll,easy,s,"[""kai'sa"", 'ekko', 'miss fortune', 'garen', 'alistar', 'nilah', 'ezreal', 'rell']","['tear of the goddess', 'bf sword', 'recurve bow', 'needlessly large rod', 'chain vest']"
1,Animas 2.0,"This is a full Anima Squad comp that uses Riven, Vayne and Miss Fortune as your main carries!",default,easy,b,"['miss fortune', 'riven', 'vayne', 'ekko', 'garen', 'alistar', 'jinx', 'nasus']","['needlessly large rod', 'chain vest', 'giants belt', 'bf sword']"
2,OX Slingers,"This is a full AP comp that focuses on Spellslinger with Neeko & Twisted Fate as your main carries and Ox Force as tanks.
",default,medium,s,"['twisted fate', 'annie', 'neeko', 'janna', 'ekko', 'viego', 'alistar', 'fiora']","['needlessly large rod', 'bf sword', 'recurve bow', 'tear of the goddess', 'chain vest']"
3,Rift-Gades,This comp is a Renegade - Riftwalkers comp with the 4-costs Jhin and Viego as damage and Ox Force as your tanks.,default,medium,a,"['jhin', 'viego', 'ekko', 'zac', 'alistar', 'vex', 'annie', 'fiora', 'pyke']","['bf sword', 'sparring gloves', 'recurve bow', 'negatron cloak', 'needlessly large rod']"
4,Laser Wolf,This comp uses a full Laser Corp team with Warwick on the Hacker Hex as main carry!,default,medium,a,"['warwick', 'mordekaiser', 'shen', 'garen', 'leblanc', 'pyke', 'yasuo', 'renekton']","['bf sword', 'chain vest', 'negatron cloak', 'recurve bow', 'sparring gloves']"
5,S.H.I.E.L.D.,"This is a full Defender comp that uses Shen as your main Defender carry with his updated carry Augment ""Time Knife""!
",default,easy,s,"['shen', 'leblanc', 'rell', 'garen', 'riven', 'pyke', 'poppy', 'wukong']","['recurve bow', 'chain vest', 'tear of the goddess', 'sparring gloves', 'negatron cloak']"
6,Quick-Gade Lucian,"This is a full Quickdraw comp with the focus on the Renegade - Lucian as your main carry!
",slow roll,medium,s,"['lucian', 'blitzcrank', 'sylas', 'miss fortune', ""kai'sa"", 'camille', 'ezreal']","['tear of the goddess', 'chain vest', 'sparring gloves', 'needlessly large rod', 'bf sword']"
7,Avarosa Ashe,"This is a Laser Corps reroll comp with Ashe as your main carry and Renekton and Blitzcrank as your tanks.
",slow roll,easy,s,"['ashe', 'renekton', 'blitzcrank', 'warwick', 'lee sin', 'sivir', 'yasuo']","['bf sword', 'recurve bow', 'chain vest', 'negatron cloak', 'giants belt']"
8,GPT LeBlanc,This is a full ADMIN comp that uses 3 star LeBlanc as your main carry with Hacker to send her straight to enemy carries.,slow roll,easy,s,"['leblanc', 'shen', 'warwick', 'sona', 'camille', 'pyke', 'blitzcrank']","['tear of the goddess', 'needlessly large rod', 'bf sword', 'sparring gloves', 'giants belt']"
9,EZ-Realities,This is a full InfiniTeam comp that uses Ultimate Ezreal as your main damage carry and Garen as a InfiniTeam Tank in the frontline!,default,medium,s,"['ultimate ezreal', 'garen', 'miss fortune', 'shen', 'ezreal', 'sivir', 'pantheon']","['bf sword', 'sparring gloves', 'spatula', 'recurve bow', 'chain vest']"
